number,value,duration,params_freeze,params_lr,params_optimizer,params_train_batch_size,params_weight_decay,state
0,0.9896907216494846,0.62,False,0.0003328906190773703,<class 'torch.optim.adam.Adam'>,28,5.270552822459829e-05,COMPLETE
5,0.979381443298969,0.63,False,0.0009180931143633008,<class 'torch.optim.adam.Adam'>,28,1.45953069049151e-05,COMPLETE
7,0.979381443298969,0.72,False,0.0002499087007462986,<class 'torch.optim.adam.Adam'>,25,9.423013764023073e-05,COMPLETE
9,0.979381443298969,0.75,False,0.00025810869935865763,<class 'torch.optim.adam.Adam'>,30,4.49171692048491e-05,COMPLETE
10,0.979381443298969,0.75,False,0.0005881252995258598,<class 'torch.optim.adam.Adam'>,22,6.548175359670441e-05,COMPLETE
11,0.979381443298969,0.62,False,0.0005394892566275866,<class 'torch.optim.adam.Adam'>,32,6.268623710378612e-05,COMPLETE
2,0.9587628865979382,0.28,True,0.0009019561556832003,<class 'torch.optim.adam.Adam'>,30,3.597862799009669e-05,COMPLETE
6,0.9587628865979382,0.72,False,0.00032462112008024835,<class 'torch.optim.adam.Adam'>,16,8.615350114341294e-05,COMPLETE
1,0.9484536082474226,0.33,True,0.00033755828817454055,<class 'torch.optim.adam.Adam'>,16,8.676737449870469e-05,COMPLETE
4,0.9381443298969072,0.27,True,0.0009969003791333731,<class 'torch.optim.adam.Adam'>,28,2.5750658511478035e-05,COMPLETE
8,0.9175257731958762,0.17,True,0.0007800645132306322,<class 'torch.optim.adam.Adam'>,21,1.5921566897949643e-05,PRUNED
3,0.9072164948453608,0.13,True,0.0008497011704336404,<class 'torch.optim.adam.Adam'>,27,1.8173690312532953e-05,PRUNED
