number,value,duration,params_freeze,params_lr,params_optimizer,params_train_batch_size,params_weight_decay,state
7,0.8944866920152091,10.8,False,9.335640806997113e-05,<class 'torch.optim.adam.Adam'>,25,0.0013158821961862586,COMPLETE
15,0.8887832699619772,10.35,False,6.934157119109114e-05,<class 'torch.optim.adam.Adam'>,24,0.001613452237208571,COMPLETE
8,0.8878326996197718,11.35,False,9.789752318509029e-05,<class 'torch.optim.adam.Adam'>,20,0.0023890805663976684,COMPLETE
11,0.8859315589353612,10.13,False,7.286218101816338e-05,<class 'torch.optim.adam.Adam'>,28,0.0013673223162426172,COMPLETE
16,0.8849809885931559,10.3,False,6.776497271920335e-05,<class 'torch.optim.adam.Adam'>,24,0.0015431352811886556,COMPLETE
0,0.8830798479087453,10.73,False,9.23209834680025e-05,<class 'torch.optim.adam.Adam'>,26,0.002991690829914345,COMPLETE
2,0.8821292775665399,12.2,False,5.5543129934610367e-05,<class 'torch.optim.adam.Adam'>,17,0.002789541467371441,COMPLETE
18,0.8821292775665399,10.0,False,8.446050148289116e-05,<class 'torch.optim.adam.Adam'>,27,1.0305232244509598e-05,COMPLETE
14,0.8811787072243346,10.73,False,8.343861770617553e-05,<class 'torch.optim.adam.Adam'>,20,0.0034499220658945895,COMPLETE
19,0.8811787072243346,9.97,False,6.626579948198607e-05,<class 'torch.optim.adam.Adam'>,24,0.004997769886066717,COMPLETE
9,0.8802281368821293,10.35,False,8.227197730391389e-05,<class 'torch.optim.adam.Adam'>,22,0.0009798177993468721,COMPLETE
13,0.8802281368821293,10.08,False,4.054305187115663e-05,<class 'torch.optim.adam.Adam'>,28,0.0015644121241562225,COMPLETE
10,0.8802281368821293,9.78,False,7.306010636031515e-05,<class 'torch.optim.adam.Adam'>,31,0.0043105360009044885,COMPLETE
5,0.8783269961977186,11.83,False,5.629003652368878e-05,<class 'torch.optim.adam.Adam'>,21,0.0024207283631448645,COMPLETE
6,0.8773764258555133,11.73,False,2.3099485282605764e-05,<class 'torch.optim.adam.Adam'>,17,0.0002198038063874167,COMPLETE
3,0.8773764258555133,11.77,False,1.6465745796137397e-05,<class 'torch.optim.adam.Adam'>,19,0.002274033382335775,COMPLETE
4,0.876425855513308,10.62,False,9.782275153999366e-05,<class 'torch.optim.adam.Adam'>,25,0.0005365380330198992,COMPLETE
17,0.876425855513308,9.85,False,4.4174025174006205e-05,<class 'torch.optim.adam.Adam'>,32,0.0008152801376527521,COMPLETE
1,0.8745247148288974,12.0,False,2.462222232785153e-05,<class 'torch.optim.adam.Adam'>,16,0.002400932618471321,COMPLETE
12,0.8640684410646388,10.53,False,9.877615237895433e-05,<class 'torch.optim.adam.Adam'>,22,0.004073219457607757,COMPLETE
